"                         Caixa Econômica Federal",,,,
"                              GovConta Caixa",,,,
"                     Extrato das Contas Individuais",,,,
,,,,
"Conta de Referência..: 0316/006/00624053-1 FUNDO MUNICIPAL DE SAUDE        ",,,,
"Data de Solicitação..: 11/05/2021 04:14:49 PM",,,,
"Data de Referência...: 01/03/2020 - 31/03/2020",,,,
,,,,
"Data Mov",Nr.Doc,Histórico,"Valor (R$)","Saldo (R$)"
2020/03/01,-,"SALDO ANTERIOR",-,0
2020/03/02,1,"CRED TED",20400,20400
2020/03/02,1,"CRED TED",483.93,20883.93
2020/03/02,20958,"ENVIO TEV","4.673,64D",16210.29
2020/03/02,20958,"ENVIO TEV","5.720,26D",10490.03
2020/03/02,20958,"ENVIO TEV","10.196,28D",293.75
2020/03/02,131885,"ENVIO TED","1.152,00D","858,25D"
2020/03/02,134353,"ENVIO TED","213,60D","1.071,85D"
2020/03/02,136301,"ENVIO TED","950,00D","2.021,85D"
2020/03/02,137991,"ENVIO TED","3.193,10D","5.214,95D"
2020/03/02,163711,"ENVIO TED","1.255,00D","6.469,95D"
2020/03/02,164310,"ENVIO TED","113.600,00D","120.069,95D"
2020/03/02,165151,"ENVIO TED","2.288,00D","122.357,95D"
2020/03/02,727220,"RESG AUTOM",122357.95,0
2020/03/03,120746,"ENVIO TED","217.500,00D","217.500,00D"
2020/03/03,121359,"ENVIO TED","500.000,00D","717.500,00D"
2020/03/03,121649,"ENVIO TED","198.153,86D","915.653,86D"
2020/03/03,122127,"ENVIO TED","36.846,57D","952.500,43D"
2020/03/03,122734,"ENVIO TED","71.278,09D","1.023.778,52D"
2020/03/03,123121,"ENVIO TED","139.878,49D","1.163.657,01D"
2020/03/03,123571,"ENVIO TED","39.672,52D","1.203.329,53D"
2020/03/03,125935,"ENVIO TED","100.000,00D","1.303.329,53D"
2020/03/03,126314,"ENVIO TED","55.225,40D","1.358.554,93D"
2020/03/03,126956,"ENVIO TED","7.463,50D","1.366.018,43D"
2020/03/03,727220,"RESG AUTOM",1366018.43,0
2020/03/04,1,"CRED TED",28944.09,28944.09
2020/03/04,1,"CRED TED",146475,175419.09
2020/03/04,1,"CRED TED",1400,176819.09
2020/03/04,1,"CRED TED",26600,203419.09
2020/03/04,40938,"ENVIO TEV","58,89D",203360.2
2020/03/04,112109,"ENVIO TED","397,32D",202962.88
2020/03/04,112549,"ENVIO TED","83,10D",202879.78
2020/03/04,112726,"ENVIO TED","490,84D",202388.94
2020/03/04,112900,"ENVIO TED","1.331,18D",201057.76
2020/03/04,113055,"ENVIO TED","548,59D",200509.17
2020/03/04,113244,"ENVIO TED","2.367,35D",198141.82
2020/03/04,113443,"ENVIO TED","73,20D",198068.62
2020/03/04,113619,"ENVIO TED","522,25D",197546.37
2020/03/04,113777,"ENVIO TED","1.209,26D",196337.11
2020/03/04,113991,"ENVIO TED","5.179,87D",191157.24
2020/03/04,114404,"ENVIO TED","697,99D",190459.25
2020/03/04,114697,"ENVIO TED","17.419,00D",173040.25
2020/03/04,114887,"ENVIO TED","798,00D",172242.25
2020/03/04,117668,"ENVIO TED","7.170,68D",165071.57
2020/03/04,119318,"ENVIO TED","33.313,46D",131758.11
2020/03/04,122502,"ENVIO TED","4.237,20D",127520.91
2020/03/04,122837,"ENVIO TED","2.641,56D",124879.35
2020/03/04,123094,"ENVIO TED","922,11D",123957.24
2020/03/04,123949,"ENVIO TED","283,90D",123673.34
2020/03/04,124473,"ENVIO TED","3.180,00D",120493.34
2020/03/04,126027,"ENVIO TED","533,06D",119960.28
2020/03/04,126586,"ENVIO TED","239,90D",119720.38
2020/03/04,126794,"ENVIO TED","625,00D",119095.38
2020/03/04,169214,"ENVIO TED","1.780,00D",117315.38
2020/03/04,990001,"APL AUTOM","117.315,38D",0
2020/03/05,1,"CRED TED",7997710.58,7997710.58
2020/03/05,1,"CRED TED",30872.13,8028582.71
2020/03/05,1,"CRED TED",172200,8200782.71
2020/03/05,1,"CRED TED",207735.33,8408518.04
2020/03/05,1,"CRED TED",742124.01,9150642.05
2020/03/05,51041,"ENVIO TEV","948.852,75D",8201789.3
2020/03/05,51041,"ENVIO TEV","1.365.405,45D",6836383.85
2020/03/05,51332,"ENVIO TEV","150.000,00D",6686383.85
2020/03/05,51332,"ENVIO TEV","191.940,00D",6494443.85
2020/03/05,121787,"ENVIO TED","18.980,20D",6475463.65
2020/03/05,122038,"ENVIO TED","2.425,00D",6473038.65
2020/03/05,122269,"ENVIO TED","3.514,72D",6469523.93
2020/03/05,122514,"ENVIO TED","1.820,00D",6467703.93
2020/03/05,122709,"ENVIO TED","402,58D",6467301.35
2020/03/05,122938,"ENVIO TED","4.881,66D",6462419.69
2020/03/05,123278,"ENVIO TED","68.826,88D",6393592.81
2020/03/05,123612,"ENVIO TED","1.040,00D",6392552.81
2020/03/05,123801,"ENVIO TED","266,16D",6392286.65
2020/03/05,124024,"ENVIO TED","133,08D",6392153.57
2020/03/05,126150,"ENVIO TED","480,00D",6391673.57
2020/03/05,990001,"APL AUTOM","6.391.673,57D",0
2020/03/06,118538,"DEVOL TED",179637.1,179637.1
2020/03/06,146986,"PAG BOLETO","1.000,00D",178637.1
2020/03/06,60933,"ENVIO TEV","203.291,10D","24.654,00D"
2020/03/06,114077,"ENVIO TED","12.560,50D","37.214,50D"
2020/03/06,114553,"ENVIO TED","12.560,50D","49.775,00D"
2020/03/06,115406,"ENVIO TED","2.691,17D","52.466,17D"
2020/03/06,115650,"ENVIO TED","8.317,00D","60.783,17D"
2020/03/06,115915,"ENVIO TED","7.756,86D","68.540,03D"
2020/03/06,116164,"ENVIO TED","1.650,00D","70.190,03D"
2020/03/06,116476,"ENVIO TED","8.961,10D","79.151,13D"
2020/03/06,116753,"ENVIO TED","9.975,85D","89.126,98D"
2020/03/06,117031,"ENVIO TED","6.655,92D","95.782,90D"
2020/03/06,117404,"ENVIO TED","5.132,36D","100.915,26D"
2020/03/06,118149,"ENVIO TED","486.890,77D","587.806,03D"
2020/03/06,118538,"ENVIO TED","179.637,10D","767.443,13D"
2020/03/06,118852,"ENVIO TED","11.736,39D","779.179,52D"
2020/03/06,119205,"ENVIO TED","12.654,67D","791.834,19D"
2020/03/06,119583,"ENVIO TED","19.658,10D","811.492,29D"
2020/03/06,119834,"ENVIO TED","330,00D","811.822,29D"
2020/03/06,120166,"ENVIO TED","6.728,15D","818.550,44D"
2020/03/06,124114,"ENVIO TED","4.995,09D","823.545,53D"
2020/03/06,124425,"ENVIO TED","3.180,00D","826.725,53D"
2020/03/06,124905,"ENVIO TED","1.652,00D","828.377,53D"
2020/03/06,125159,"ENVIO TED","1.230,87D","829.608,40D"
2020/03/06,125799,"ENVIO TED","16.596,30D","846.204,70D"
2020/03/06,150616,"ENVIO TED","161.429,82D","1.007.634,52D"
2020/03/06,161524,"ENVIO TED","120,00D","1.007.754,52D"
2020/03/06,727220,"RESG AUTOM",1007754.52,0
2020/03/09,1,"CRED TED",7500,7500
2020/03/09,90920,"ENVIO TEV","1.087.062,84D","1.079.562,84D"
2020/03/09,90920,"ENVIO TEV","23.675,50D","1.103.238,34D"
2020/03/09,90951,"ENVIO TEV","500.000,00D","1.603.238,34D"
2020/03/09,151920,"ENVIO TED","488,00D","1.603.726,34D"
2020/03/09,152381,"ENVIO TED","2.171,44D","1.605.897,78D"
2020/03/09,152813,"ENVIO TED","10.155,00D","1.616.052,78D"
2020/03/09,153035,"ENVIO TED","2.488,00D","1.618.540,78D"
2020/03/09,154214,"ENVIO TED","21.781,27D","1.640.322,05D"
2020/03/09,154495,"ENVIO TED","11.627,51D","1.651.949,56D"
2020/03/09,154813,"ENVIO TED","2.044,15D","1.653.993,71D"
2020/03/09,155154,"ENVIO TED","10.279,53D","1.664.273,24D"
2020/03/09,158221,"ENVIO TED","5.544,00D","1.669.817,24D"
2020/03/09,165010,"ENVIO TED","179.637,10D","1.849.454,34D"
2020/03/09,727220,"RESG AUTOM",1849454.34,0
2020/03/10,1,"CRED TED",86970,86970
2020/03/10,306477,"PAG BOLETO","8.505,00D",78465
2020/03/10,100915,"ENVIO TEV","148.015,10D","69.550,10D"
2020/03/10,101008,"ENVIO TEV","3.915,00D","73.465,10D"
2020/03/10,111365,"ENVIO TED","1.375,16D","74.840,26D"
2020/03/10,112196,"ENVIO TED","4.454,89D","79.295,15D"
2020/03/10,112593,"ENVIO TED","21.869,46D","101.164,61D"
2020/03/10,112918,"ENVIO TED","1.619,96D","102.784,57D"
2020/03/10,132869,"ENVIO TED","460,80D","103.245,37D"
2020/03/10,143678,"ENVIO TED","448,51D","103.693,88D"
2020/03/10,144151,"ENVIO TED","139.945,68D","243.639,56D"
2020/03/10,171781,"ENVIO TED","1.317,84D","244.957,40D"
2020/03/10,727220,"RESG AUTOM",244957.4,0
2020/03/11,114981,"ENVIO TED","16.831,13D","16.831,13D"
2020/03/11,115179,"ENVIO TED","763,37D","17.594,50D"
2020/03/11,115853,"ENVIO TED","748,93D","18.343,43D"
2020/03/11,116081,"ENVIO TED","7.263,14D","25.606,57D"
2020/03/11,131381,"ENVIO TED","171,78D","25.778,35D"
2020/03/11,727220,"RESG AUTOM",25778.35,0
2020/03/12,109381,"ENVIO TED","2.400,00D","2.400,00D"
2020/03/12,109877,"ENVIO TED","60,00D","2.460,00D"
2020/03/12,110186,"ENVIO TED","208,32D","2.668,32D"
2020/03/12,120835,"ENVIO TEV","25,00D","2.693,32D"
2020/03/12,143171,"ENVIO TED","478,80D","3.172,12D"
2020/03/12,727220,"RESG AUTOM",3172.12,0
2020/03/13,1,"CRED TED",204243.98,204243.98
2020/03/13,1,"CRED TED",68445.8,272689.78
2020/03/13,129017,"DEVOL TED",400,273089.78
2020/03/13,124502,"ENVIO TED","64.458,80D",208630.98
2020/03/13,124777,"ENVIO TED","3.275,00D",205355.98
2020/03/13,125176,"ENVIO TED","1.085,10D",204270.88
2020/03/13,125599,"ENVIO TED","12.152,70D",192118.18
2020/03/13,126523,"ENVIO TED","25,00D",192093.18
2020/03/13,126846,"ENVIO TED","146,72D",191946.46
2020/03/13,127107,"ENVIO TED","300,00D",191646.46
2020/03/13,127519,"ENVIO TED","265,60D",191380.86
2020/03/13,128304,"ENVIO TED","60,00D",191320.86
2020/03/13,129017,"ENVIO TED","400,00D",190920.86
2020/03/13,129282,"ENVIO TED","60,00D",190860.86
2020/03/13,130955,"ENVIO TEV","4.999,05D",185861.81
2020/03/13,131001,"ENVIO TEV","5.820,16D",180041.65
2020/03/13,131001,"ENVIO TEV","10.716,89D",169324.76
2020/03/13,131304,"ENVIO TEV","11.294,15D",158030.61
2020/03/13,131304,"ENVIO TEV","925,75D",157104.86
2020/03/13,131304,"ENVIO TEV","555,45D",156549.41
2020/03/13,990001,"APL AUTOM","156.549,41D",0
2020/03/16,113533,"ENVIO TED","20.705,00D","20.705,00D"
2020/03/16,158674,"ENVIO TED","8.359,13D","29.064,13D"
2020/03/16,159254,"ENVIO TED","8.232,00D","37.296,13D"
2020/03/16,159787,"ENVIO TED","438,00D","37.734,13D"
2020/03/16,160125,"ENVIO TED","100,00D","37.834,13D"
2020/03/16,160724,"ENVIO TED","7.177,44D","45.011,57D"
2020/03/16,161119,"ENVIO TED","4.539,06D","49.550,63D"
2020/03/16,161774,"ENVIO TED","2.250,00D","51.800,63D"
